Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
131,No,None,None,None,None,None,None,Slight,None,None,None,None,None,None,None,None,None,Path drawing,"It was easier to make the paths. It was easier to just draw a path rather than connect all of them. However, I do think that editing and deleting was easier on the point placing method.",Pointing (6 DoF),"I liked it because it felt like it gave more control. It was easier to stay on path by just moving forward and backwards, but pointing was more fun","I enjoy riding roller coasters. And I felt with the pointing method, it felt a lot like a roller coaster.","No, there were no negative factors",No,18 - 24,Male,Male,Right-handed,"Some college, no degree"
132,No,Slight,None,None,None,None,None,Moderate,None,None,None,None,None,None,None,None,None,Point placing with plane,It was easier to get an accurate path from where you wanted and was easier to pinpoint a specific spot you wanted to move to instead of having dragged it in a weird way.,Pointing (6 DoF),I could control my range of motion better and choose when I wanted to change directions. The other one caught me off guard sometimes when I was trying to turn around,I really liked being able to walk around the display when drawing my path so i can view it from multiple sides. I thought placing the points was really easy and straightforward as well! I also generally found it easy to move around the path as well.,"It had a learning curve at the beginning because I didn't really understand what I was doing and how to get the results I wanted. Also, since some of my paths were all over the place, I felt a bit off balance when walking over the different paths. One of my paths was also right through a wall by accident which was a little weird trying to figure out what to do in those situations.","I had fun doing this! I wasn't quite sure I was drawing the paths correctly at the beginning (and still am not completely sure I did the task perfectly) but after I figured out how to do the initial path drawing or moving, the rest were a lot easier to replicate.",18 - 24,Female,Female,Right-handed,Bachelor's degree
133,No,Moderate,Slight,None,Moderate,Slight,None,None,None,None,Moderate,Slight,None,None,Slight,None,None,Point placing with plane,I preferred being able to move my points that I made in the process of creating my path.,Forward/Backward (4 DoF),"On top of being easier to control, it gave me a better chance to take a look at how my path would feel while traveling along, although the pointing method allows more freedom.",It was pretty easy to use as someone who seldom uses a VR headset.,"General discomfort with standing while using a VR headset, made it feel like more of a burden on my back.",,18 - 24,Male,Male,Right-handed,"Some college, no degree"
134,No,Slight,None,None,None,None,None,Moderate,None,None,None,None,None,None,None,None,None,Point placing with plane,It felt like I could make a more accurate path to where I wanted to go.,Forward/Backward (4 DoF),It was more comfortable compared to the pointing. I also felt I could remain on the paths I made much easier.,The models and different planning and pathing methods were quite fun to experience. ,Nothing really had a negative impact on my experience.,"For the pointing pathing method, it was a bit weird feeling at first, but once I got used to it it felt fine.",18 - 24,Male,Male,Right-handed,Bachelor's degree
135,No,None,Slight,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Path drawing,creativity,Forward/Backward (4 DoF),easier to use and don't go off the path as many times,making your own path and then looking at the landscapes was a positive,Being on a plane that was high up made it only slightly negative,I thought it was fun and didn't get motion sick with a history of vertigo,18 - 24,Female,Female,Right-handed,"Some college, no degree"
136,No,Moderate,None,Slight,None,Slight,None,Severe,Moderate,Slight,None,None,Slight,None,None,None,None,Path drawing,"Ability to drag allows for greater path flexibility, more intuitive to use",Forward/Backward (4 DoF),Easier to view scene while travelling along/near path,"This was my first time experiencing VR, so the novelty was exciting. The pointing navigation interface allowed for greater flexibility.","The joystick felt a little finicky in that it was hard to get a speed between not moving and moving and full speed. I believe I may have been more motion sick from the pointing navigation interface partially because my sickness from the previous interface ""built up.""","I felt motion sick during the navigation, but was not motion sick before that part and was motion sick for only for a little while after I took the headset off.",18 - 24,Male,Male,Right-handed,"Some college, no degree"
137,Yes,Moderate,Slight,Slight,Slight,Slight,None,Slight,Moderate,Slight,Slight,Slight,Slight,Moderate,Moderate,Slight,Slight,Path drawing,"It is easier to create a path with path drawing. the plane method will increase accuracy but in hindsight I will be traveling midair, so he path does not need to be so close to the ground and the accuracy is not required.",Forward/Backward (4 DoF),"Less cybersickness is introduced if I use the forward/backward method, and instead of navigating I can spend more time enjoying the view. Pointing provides more freedom but since I'm working on aligning with an existing path, the freedom was not necessary for me.","The controller has colored buttons and clear information. There is no turning left and right, only front and back, which is very intuitive and easy to use. Reduces cybersickness too.","The path (the "">>>>>"") is sometimes distorted and hard to see. Also there are situations where I go upward and then immediately go downward. In that case the two paths would overlap with each other.",,25 - 34,Female,Female,Right-handed,Graduate or professional degree
139,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Path drawing,It's a little more intuitive than the point placing with the plane.,Forward/Backward (4 DoF),It's simpiler than having the option to point anywhere.,It was easy to learn how to make paths and navigate those paths. The instructions were clear and the buttons were simple. ,"Sometimes the path motion was a little disconcerting, but that may have been due to how I made the paths. ",,18 - 24,Female,Female,Right-handed,"Some college, no degree"
140,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Path drawing,"more control over the entire path, especially in between points; also more intuitive to use",Forward/Backward (4 DoF),Pointing required me to do a lot more moving around so I could see where I was going; forward/backward made it easier to follow the path without worrying about going off of it,"The real-time response was nice, I also liked being able to see the entire model and move around it when placing my points. The tutorials were straightforward as well","Moving along my points in the space made me a little dizzy, mostly when I was using the pointing method of navigation. I also felt like the plane method of making points was a little confusing, but not so bad to the point that I couldn't figure it out; after placing the points in a couple different models I got the gist of it",loved the history behind the models used for the study :),18 - 24,Female,Non-binary/third gender,Right-handed,"Some college, no degree"
141,No,None,None,None,Slight,None,None,None,None,None,None,None,None,None,None,None,None,Point placing with plane,I found this method more efficient and it was fun using a system of planning that wasn't super conventional. ,Pointing (6 DoF),"It was more engaging, when using just the forward/backward path along the path, there wasn't really anything for me to do.",The fact that I was able to turn my head and look where I was going helped a lot in reducing motion sickness. Generally when I'm forced to use the joysticks to move I find myself getting motion sick extremely fast.,In the forward/backward movement it felt as though the lack of autonomy made things very slightly more eyestrain inducing.,,18 - 24,Male,Male,Left-handed,"Some college, no degree"
142,Yes,Moderate,Slight,Moderate,Moderate,None,None,Slight,Slight,Slight,Moderate,None,None,Slight,None,Slight,None,Path drawing,I prefered that method because it was easier to navigate and do in one motion rather than draw multiple points and try to connect them without hitting walls or other objects.,Forward/Backward (4 DoF),"I seemed to get more dizzy using the pointing method, but perhaps that was just because of the longevity of the task.",,,,18 - 24,Male,Male,Right-handed,"Some college, no degree"
143,No,Slight,None,None,Slight,Slight,None,None,None,None,None,None,None,None,None,None,None,Path drawing,"More easier, both method seems similar for me but path drawing needs less steps to finish.",Pointing (6 DoF),Forward/Backward need I turn myself and it is not convenient when wearing a head-set. Pointing is more flexible(seems like it can go more directions than forward/backward).,The virtual environment seems fine and the structure is understandable.,"Forward/Backward part, before turning/going up/going down, I feel like there is a stuck(very short time) , this makes me uncomfortable. ","For the path planning part, it will be better if can tell me how many balls exist/remain. The final grading plane's place seems to be random, if can show just in front of the view that will be better.",18 - 24,Female,Female,Right-handed,Graduate or professional degree
145,No,None,None,None,None,None,None,None,None,None,None,Slight,None,None,None,None,None,Point placing with plane,it was easier to create smoother lines,Pointing (6 DoF),More mentally stimulating and greater freedom of motion,"For the pointing interface, I appreciated the ability to move around freely but it was more difficult to stay on the path/keep an even distance from the path, which also made it more challenging and fun. For the forward/backward interface, I enjoyed that the path was automatically followed, and I only had to control whether to move forward or backward on it. This allowed me to better appreciate the model sites",N/A,I absolutely loved the background information and mini history lesson that Courtney provided on each of the sites. It was also interesting to hear about the processing/computing power it takes to model the sites. ,18 - 24,Female,Female,Right-handed,Bachelor's degree
146,No,Slight,None,None,Slight,Slight,None,Moderate,Slight,None,None,None,None,Slight,None,Moderate,None,Path drawing,I have more control on creativity,Forward/Backward (4 DoF),"When the path drawing gets a little complicated, it's easier to to forward/backward than pointing ",The guidance from the conductor was very helpful.,None ,"It was an opened experience, even better when I know these are real landscapes.",18 - 24,Female,Female,Right-handed,Bachelor's degree
147,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Path drawing,Straightforward for controlling,Forward/Backward (4 DoF),I don't need to navigate by myself,,,"For the second method to go along the path, looking at somewhere else instead of the path arrows are helpful for releasing uncomfortable feelings",18 - 24,Female,Female,Right-handed,Graduate or professional degree
149,Yes,Slight,Slight,None,None,None,None,Slight,Slight,None,Slight,None,None,None,None,Slight,None,Path drawing,"Plane felt like an extra step and extra coordination needed; I ended up mostly placing control points with the drawing method anyway, so the added convenience from that was less than the amount of extra effort to use the left hand.",Forward/Backward (4 DoF),"It felt hard to keep on the path with the pointing method; maybe it would've been easier to stay on path if I got rotated as the curve banked, or maybe that'd make me puke.","The forward/backward navigation method made it a lot less disorienting -- adjusting my body position so I was ""surfing"" on the line felt like it alleviated a lot of the motion sickness.","I ended up disoriented a couple times with both interfaces; the sharp angles in my paths were part of it, but I didn't feel like I knew where the paths were going to go next -- it felt like a big rollercoaster.","I might've made much smoother paths if it was ""make a path then walk it,"" rather than ""make all the paths then walk them all""...",25 - 34,Male,Prefer not to specify,Right-handed,Bachelor's degree
150,No,None,Slight,Slight,Slight,None,None,None,None,None,None,None,None,None,None,Slight,None,Point placing with plane,It made the navigation portion much smoother later on. I was more precise with where I was placing my points. ,Forward/Backward (4 DoF),I got more motion sickness with the pointing ,Simplicity of how to move was nice!,"I made the drawings very bouncy so it made me more motion sick, if I had known to make them more direct lines I may have liked that better. ",,18 - 24,Female,Female,Right-handed,Bachelor's degree
151,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Point placing with plane,I found it to be a lot easier when compared to drawing my path as editing once you made a point was much easier than having to erase a path and redraw it,Forward/Backward (4 DoF),I found just using the controller to move forwards and backwards easier as when I used the other method it felt as if I were on a roller coaster and with the added bonus of my head moving up and down my legs didn't feel fully stable during that time,"I think that not having too much up and down movement or vertical movement really allowed me to not feel unstable at times and in addition the timing for the second method of movement which was much more controlled and slower, added in allowing the experience to not have any discomfort",I think that one negative factor was how the speed could change in the first method of movement depending how far up you moved the controller which added to me feeling like i was on a roller coaster at time as well as unstable,"I really enjoyed this participating in this VR study and enjoyed learning about the different models that were sampled, their history, and the preservation of historical buildi9ngs overall",18 - 24,Female,Female,Right-handed,High school diploma or GED`
